name,extra_ingredients,core_ingredients,instructions
Crispy Duck with Fava Beans & Caramelised Onions,onion;butter;rosemary;sugar;balsamic_vinegar;garlic;thyme,duck_leg;fava_beans;carrot;french_beans,"1: Before you start, preheat your oven to 180 remove the thick rosemary stalks (not the leaves!). Stir in the balsamic vinegar and season, both to taste. Add the drained) fava beans (we're suggesting two-thirds of the tin, but use them all if you prefer) and gently warm through before serving.;2: Pat the skin of the duck dry with kitchen paper, then use something small and sharp-cocktail stick, sharp little knife tip or skewer to prick the skin several times all over. Season it with a little salt, then place it in a roasting dish if you have a wire rack, then placing it on that or on some bunched up foil to prevent it from sitting directly in the dish is good, to help it cook well and the;3: Bake for 65-75 minutes, basting it a few times and draining off excess fat that emerges as it cooks (save this, see tip). The skin should be nice and crispy at the end of the cook time, and the meal soft. Rest it for at least 10-15 minutes, covered loosely with foil, once cooked (everything else can be kept warm while you do this, if ready beforehand).;4: Halve, peel and thinly slice the onions. Place them in a heavy-based saucepan with a good pinch of salt, a good knob of butter and the whole) rosemary sprigs. Gently cook for 30-40 minutes. Try to avoid stirring it too often as this will enable the onions to gently colour - by the end of the whole process, the onions should be golden and starting to caramelise. Add 2 tbsp of sugar and cook for a further 10 minutes, then;5: Meanwhile, trim off the carrot tops, then chop the carrots in half, lengthways. Toss in a roasting tin in a little oil to coat and season with salt and pepper. Roast for 25 minutes, while you continue with the prep. skin crisp;6: Trim the stalk tops off the French beans. Peel and finely grate or chop the garlic - use 1 or 2 cloves, as you prefer. Strip off and chop 1 tbsp worth of thyme leaves.;7: After 25 minutes, to the roasting carrots, add the French beans, garlic and thyme, plus a drizzle more oil if needed. Toss together and return to the oven for a further 10-15 minutes, until tender.;8: Serve the duck on the fava beans and onions, with the carrots and beans on the side. You can pick and scatter a few fresh thyme leaves over the duck to serve, if you like."
Gaucho Steaks with Chimichurri Salad,garlic;lime;oregano;red_onion;cumin;chilli_flakes;red_wine_vinegar;coriander;parsley,sirloin_steak;cherry_tomato;black_eyed_beans;chilli;padron_pepper;avocado,"1: Before you start, make sure you have all your ingredients ready and washed and your equipment out and ready to use.;2: Peel and crush or finely grate the garlic. Finely zest the lime Juice the lime into a mug;3: In a shallow dish, mix half the garlic with half the lime juice and zest, the oregano and 1 tbsp of olive oil. Season well with salt and pepper, add the steaks and turn them to coat with the marinade. Set aside for now.;4: Peel and finely chop half the onion (use more or less, depending on your taste for raw onion - save any leftover for another recipe). Place the onion in a large bowl along with the remaining garlic (to taste), lime zest and juice. Halve the tomatoes. Add to the onion bowl.;5: Toast the cumin in a frying pan for 30 seconds - 1 minute, until fragrant. Add to the onion and tomato bowl.;6: Drain and rinse the beans in a sieve. Add to the onion and tomato bowl with chilli flakes, to taste. Add the vinegar and a splash of olive oil. Season and set aside for now.;7: Roughly chop the coriander and parsley, stalks and all.;8: If BBQing, get that ready. Remove the steaks from the marinade and BBQ for 1-2 minutes cach side for medium/ rare, or until cooked to your liking. Alternatively, if you're not BBQing, heat / tbsp of oil in a large frying pan. Once hot, fry the steaks for 1-2 minutes each side for medium/rare, or until cooked to your liking.;9: Set the steaks aside on a plate to rest, covered, while you continue.;10: Mix the coriander and parsley into the tomato and bean salad. Check the seasoning of the salad, and if you'd like more heat, add some freshly sliced chilli to the mix.;11: Heat the frying pan again with a little more oil. Once the oil is hot, almost smoking, fry the Padron peppers for a few minutes, until they are coloured and collapsing.;12: Halve, destone and slice the avocado.;13: Slice the steaks and serve over the tomato and bean salad with the avocado and any steak resting juices. Serve the Padrons peppers alongside, sprinkled with a little coarse sea salt, if you have any."
Chipotle Bean Taco Salad,red_onion;lime;garlic;coriander;cumin;chipotle_paste,tortilla;tomato;cherry_tomato;avocado;black_beans;chilli,"1: Before you start, have all your equipment out and your ingredients washed and ready to use. Preheat your oven to 200. Using half the onion, peel and finely dice it and place in a bowl. Squeeze in the juice from half the lime. Set aside for now.;3: Brush or lightly rub 3 tortillas with a little oil then cut into wedges (save the rest for another time, or if you have a smaller, or larger appetite, useless, or more!). Sprinkle with a little salt and lay in a single layer on a baking sheet or two. Bake for 5-8 minutes, until crisp and golden - keep a good eye on them as this will depend on your own oven.;4: Make the mojo: peel the garlic. If using a blender, roughly chop the garlic, chilli (to your taste for heat), coriander and tomatillos. Blend with the remaining lime juice and cumin. If you don't have a blender, finely chop the garlic and chilli. Roughly chop the coriander and tomatillos and mix everything together with the lime juice and cumin. Season to taste.;5: Halve the tomatoes. Halve, destone and slice the avocado.;6: Add just half the chipotle paste to the onion, with a pinch of sugar too, if you like.;7: Drain and rinse the beans. Add to the bowl and combine with the tomatoes.;8: Season and add more chipotle paste, to taste.;9: Serve the bean and tomato salad with the tortilla chips, avocado and tomatillo mojo."
"Pink Grapefruit, Mint, & Cucumber Bulghur",bouillon;tahini;lime;basil;mint,bulghur_wheat;cucumber;cherry_tomato;grapefruit;avocado;hazelnut;salad,"1: Before you start, make sure you have all your ingredients washed and ready, and any equipment needed to hand. Do you wear a pinny? Pop that on. Boil a kettle of water too. Oll we go...;2: Add the maftoul to a medium saucepan, with the bouillon and a pinch of salt. Add 300ml of boiled water, then cook on a low-medium boil for approx. 12 minutes, until much of the water is absorbed and the maftoul tender with a little bite. Stir now and then, particularly towards the end, and add a splash more water if needed.;3: Meanwhile, in a mug, mix the tahini with the juice from the half the lime, a pinch of salt and 1-2 tbsp or so of cold water to make a pourable dressing.;4: Halve the cucumber, lengthways, then chop into half moon shapes - on the diagonal looks pretty!;5: Halve the tomatoes.;6: Prepare the grapefruit into segments or peel and chop into half moons - see cook's tip.;7: Destone and scoop the avocado out, then dice or slice it. Squeeze over a little lime juice to prevent it discolouring.;8: Roughly chop the hazelnuts - just into halve or so, Totoo small.;9: Pick the basil leaves from the stalks, then tear up the leaves. Pick the mint leaves from half the bag and tear them Hip too.;10: Drain the maftoul, give it a quick rinse under cold water to cool it down, then add to a large bowl with the tomatoes, cucumber, avocado, grapefruit, some salad leaves to your liking (you don't have to use the whole bag) and half the torn basil and mint. Add a drizzle of good olive oil and lightly toss to combine.;11: Arrange on two plates or shallow bowls, drizzle with tahini dressing and top with hazelnuts and remaining herbs to finish."
Honey & Sesame Buffalomi & Bulghur,garlic;egg;polenta;honey;dried_thyme;sesame_seed;parsley;lemon,bulghur_wheat;cherry_tomato;green_olive;halloumi;salad,"1: Preheat your oven to 200, Boil a kettle.;2: Put the bulghur wheat in a large heatproof bowl or saucepan. Pour in enough boiled water to cover it by 1cm. Gover with a plate. Leave to soak, while;3: Halve the tomatoes and place cut-side up on a roasting tray. Drizzle with oil and season. Roast for approx. 20 minutes, until just softening and slightly charred around the edges.;4: Meanwhile, slice the olives. Peel and finely chop the garlic.;5: In a shallow bowl, whisk the egg with 1 tbsp of water. Cut the buffalomi into 2cm cubes. Sprinkle a thin layer of polenta on a plate, reserving the majority for step 6.;6: Turn the buffalomi cubes in the egg, then place all of the cubes on the polenta plate. Sprinkle over the remaining polenta, shaking the plate as you do so, to try and coat all the sides in polenta - not to worry if they're not completely covered.;7: When the bulghur is soaked and the liquid absorbed (drain off any excess liquid, if needed), heat a good drizzle of oil in a frying pan. Fry the buffalomi for 1-2 minutes each side, until golden. Add the honey, thyme and sesame seeds, turning the buffalomi cubes in the mixture to coat them a little (not all of it will stick, this is finc). you continue;8: To the roasted tomatoes, add the bulghur, olives, salad leaves and garlic (to your taste). Roughly chop the parsley leaves, add those. Gently mix together, adding some olive oil, pepper and lemon juice if you like, all to tast;9: Divide the bulghur between 2 plates. Top with the buffalomi and any honeyed sesame bits from the pan."
Creamy Chicken & Mushrooms with Peas,onion;garlic;chive;white_wine,chicken_thigh;mushroom;peas;potato;double_cream,"1: Heat 1 tbsp of oil in a frying pan, while you season the chicken skin with a little salt. Once the oil is hot, fry the chicken, skin side down, on a medium heat, for approx. 8 minutes, until the skin is nicely golden and crisp. butter to the pan and fry them all for 5 minutes, stirring the mushrooms and onions once or twice, while you snip or chop the chives.;2: While the chicken cooks, put a medium saucepan of salted water on to boil.;3: Trim and thinly slice the onion - use the green tops too. Peel and finely chop or grate the garlic. Slice the mushrooms.;4: Pod the peas.;5: Turn the chicken over, and fry on the same medium heat for a further 10 minutes, adding a little splash of water halfway through, to prevent the chicken from drying out. season to taste.;6: Chop any larger potatoes in half or quarters, depending on size. Boil the potatoes for 10-12 minutes, until tender. Add the peas for just 2 minutes at the end of the potato cooking time (this just saves on a pan, but you can use a separate one, or steam them, if you prefer).;7: Scatter the mushrooms and onion around the chicken. Add a knob of butter to the pan and fry them all for 5 minutes stirring the mushrooms and the onions once or twice, while you snip or chop the chives.;8: Add the garlic to the chicken pan and stir it in. Cook for 1 minute.;9: Add the wine and let it bubble and reduce. Reduce the heat, then stir in the cream and let it all simmer and thicken for a few minutes. Add a splash of water if it gets a little too thick. Make sure the chicken is cooked through (no pink juices remain-cook for a little longer if needs be.;10: Drain the cooked potatoes and peas.;11: Stir the chives into the chicken and;12: Serve the chicken and sauce with the potatoes and peas."
"Roast Mushroom, Creme Fraiche, Basil & Tomato Orzo",red_onion;garlic;tomato_puree;bouillon;basil;balsamic_vinegar,mushroom;tomato;cherry_tomato;orzo;creme_fraiche;hard_cheese,"1: Before you start, make sure your oven is preheated and you have all your ingredients ready and washed and your equipment out and ready to use.;2: Set your oven to 200°C/Gas 6;3: Halve the mushrooms for quarter, if particularly large). Peel and chop the onions into wedges. Chop the larger tomatoes into wedges.;4: Toss the mushrooms, onions, tomato wedges and baby tomatoes whole) into a large lidded casserole (or use a large roasting tin).;5: Toss all the veg in a little oil and some salt and pepper to season. Roast for 15 minutes, uncovered, tossing them halfway through, while you continue.;6: Peel and finely chop or grate 3 garlic cloves. (If you love garlic, you could always add another clove!;7: Boil a kettle. Put the tomato purée and bouillon powder in a measuring jug. Add 800ml of boiled water and stir to mix it altogether.;8: Stir the garlic into the vegetables and roast for a further 5 minutes. Roughly tear up the basil while you wait.;9: Add the orzo, balsamic vinegar, hall the basil and all the bouillon mixture to the vegetables. Stir well. Cover with a lid or tightly with foil.;10: Bake for approx. 25 minutes, until the orzo is tender and the liquid almost all evaporated. Check it towards the end and stir, to prevent it from catching.;11: Stir in a couple of good spoons of crème fraiche. Check the seasoning and add a little more basil to your liking. Serve scattered with Italian cheese."
"Creamy Pollock, Samphire & New Potatoes",white_wine;chive;lemon,potato;pollock;samphire;creme_fraiche,"1: Lightly scrub the potatoes clean (no need to peel them). Halve or quarter any larger ones, so they're roughly all the same size. Transfer to a medium saucepan, add a couple of pinches of salt and cover well with plenty of cold water. Bring to the boil, then cook for approx. 10-12 minutes, until tender, while you continue.;2: Snip or chop the chives into small pieces.;3: Finely zest about 1 tsp of the lemon rind.;4: Heat 1/2 tbsp of oil or alternatively, melt a knob of butter with a little splash of oil in a large frying pan. If using butter, when it is foaming, add the pollock. Fry on a medium-high heat for 2 minutes, without moving the fish about at all.;5: Then carefully turn the fish, add the wine and samphire, letting the wine bubble and reduce slightly.;6: Reduce the heat, stir in the crème fraîche and let it gently bubble away, until the fish is cooked through, approx. 2 minutes. If you do need to thin the sauce, a little of the potato cooking water is a good shout. The samphire will retain a little bite.;7: Stir in half the chives, season with pepper (the samphire is salty and already acts like a scasoning, so go very carefully with any salt, if at all) and add a squeeze of lemon to taste.;8: Drain the cooked potatoes. Return the potatoes to the saucepan and toss with a knob of butter or a drizzle of olive oil and scason to taste.;9: Serve with the fish, samphire and sauce, scattering over a little lemon zest to your liking and the remaining chives.;10: Scrve with extra wedges of remaining lemon"
Normandy Pork & Cider with Tenderstem Broccoli,red_onion;garlic;cider;mustard;chervil,potato;tenderstem_broccoli;apple;pork_spare_rib_steaks;double_cream,"1: Have a quick read through the method before you start. Get your ingredients and equipment lined up, ready to go. oil, if no butter). Fry the apple pieces for a couple of minutes, until lightly coloured, then add a splash of water (6 tbsp or so). Let them cook until the water is all gone and the apples are almost tender. Transfer to a plate.;2: Preheat your oven to 190. Scrub and chop the potatoes inte wedges. Toss in a roasting tin in just cnough oil to coat, with plenty of salt and pepper to season. Set aside for now.;3: Pecl and chop the onion into wedges.;4: When your oven is up to temperature, roast the potatoes for 15 minutes, then toss in the onion wedges. Continue to roast for a further 25-30 minutes, until they're nicely cooked through, tossing them a couple of times as they cook, adding the garlic for the final 10;5: Peel and finely chop the garlic for the potatoes).;6: Trim the broccoli halve any thicker stems, lengthways. Quarter and core the apple(s) (peel if you prefer), then thinly slice each quarter. Chop the chervil, stalks and all.;7: Pat the pork dry and season it with salt;8: Just after you add the onion wedges to the potatoes, gently melt a knob of butter in a large frying pan (or use some;9: Fill a large saucepan with water and bring to the boil.;10: Add the pork to the frying pan (no need to clean it, add a splash of oil if needed). Fry on a high heat for approx. 2-3 minutes on each side, until coloured. Add the cider. Let it bubble and reduce by half (approx. 2-3 minutes).;11: Meanwhile, boil the broccoli for approx. 4 minutes, until just tender. minutes.;12: To the pork, add two-thirds of the cream, lower the heat to medium, season, and let it bubble to thicken the sauce to your liking (add a splash more cream or a little water, if you accidentally let it get too thick). Stir in any pork cooking residues from the side of the pan. Remove from the heat.;13: Into the pork pan, stir in the apple pieces, chervil, mustard to taste and also salt and pepper to taste. and pepper.;14: Drain the broccoli and serve with the pork, sauce, potatoes and onions."
Beef & Spinach Lasagne,onion;garlic;tomato_puree;worcester_sauce;dried_rosemary;butter;flour;milk,carrot;celery;courgette;beef_mince;chopped_tomato;cheddar_cheese;spinach;lasagne_sheet,"1: Halve and peel the onion, then finely dice it. Peel the carrot. Fincly dice the carrot, courgette and celery. Peel and finely chop the garlic.;2: Heat 2 tablespoons of oil in a large pan. When hot, fry the beef for a few minutes to brown it. If you can get a few crispy bits on it, all the better. Transfer to a plate.;3: Add a splash more oil to the pan if needed. Turn the heat down, then fry the onion, carrot, courgette and celery for 5 minutes, stirring now and then.;4: Stir in the beef, turn up the heat a little. Fry for a further 2 minutes. Stir in the garlic, tomato purée, Worcester sauce, spice pot and dried rosemary.;5: Stir in the tinned tomatoes, add half a tin of water and season with salt and pepper. Bring to a low simmering boil, partly cover with a lid then let it very gently cook for 30 minutes (if you have more time, you can let it cook for longer, 40-45 minutes), stirring now and then, while you continue.;6: Grate the Cheddar cheese. In a medium saucepan, gently melt the butter, then stir in the flour, letting it cook out for 2 minutes, to make a 'roux', the base for the cheese sauce.;7: Gradually whisk in the milk - start with 2-3 tablespoons, whisking to eliminate any lumps, then add the rest.;8: Stir in three-quarters of the cheese and let it gently thicken, without bringing it to the boil. Set aside.;9: Preheat your oven to 190. When the beef sauce is cooked, stir in the spinach in handfuls, until just wilted in. Remove from the heat.;10: Spoon a third of the beef sauce into the bottom of a baking dish. Cover with a layer of lasagne (breaking pieces up to fit your dish as needed). Spoon over a further third of the beef sauce, then another layer of lasagne. Spoon over hall the cheese sauce, the remaining beef sauce, more lasagne, then finish with the remaining cheese sauce, making sure the lasagne is covered.;11: Cover the whole thing loosely with foil, place it in a larger roasting tin this just stops any spillage from making a mess of your oven), then bake for 25 minutes.;12: Uncover, sprinkle over the remaining cheese and bake for a further 15 minutes or so, until bubbling and golden and the lasagne is soft (test by inserting a sharp knife). Portion up and serve!"
